Name,UserID,Email,Faculty,Password,Profile
CHERN,YCHERN,YCHERN@e.ntu.edu.sg,SCSE,Password123!,2
KOH,KOH1,KOH1@e.ntu.edu.sg,ADM,password,1
BRANDON,BR015,BR015@e.ntu.edu.sg,EEE,password,1
CALVIN,CT113,CT113@e.ntu.edu.sg,SCSE,Password123!,1
CHAN,YCN019,YCN019@e.ntu.edu.sg,NBS,password,1
DENISE,DL007,DL007@e.ntu.edu.sg,SCSE,Password123!,2
DONG,DON84,DON84@e.ntu.edu.sg,ADM,password,1
ERNEST,ELI34,ELI34@e.ntu.edu.sg,EEE,password,1
LEE,LE51,LE51@e.ntu.edu.sg,SCSE,password,1
LIU,SL22,SL22@e.ntu.edu.sg,NBS,password,1
SHUYI,OH095,OH095@e.ntu.edu.sg,ADM,Password123!,2
VALENE,VAL014,VAL014@e.ntu.edu.sg,WKW,password,1
ASHER,ATAN1,ATAN1@e.ntu.edu.sg,SCSE,password,1
XINYAN,XCHENG3,XCHENG3@e.ntu.edu.sg,ADM,password,1
PEICHEN,PC21,PC21@e.ntu.edu.sg,EEE,password,1
KENDRICK,KOH56,KOH56@e.ntu.edu.sg,SCSE,Password123!,1
KEITH,KANG09,KANG09@e.ntu.edu.sg,NBS,password,1
AARON,AAJ87,AAJ87@e.ntu.edu.sg,SCSE,Password123!,2
XINYI,XYO643,XYO643@e.ntu.edu.sg,EEE,password,1
WEILIANG,WL764,XYO643@e.ntu.edu.sg,SCSE,password,2
PHOEBE,MOH239,MOH239@e.ntu.edu.sg,NBS,password,1
ELEORA,KOW946,KOW946@e.ntu.edu.sg,WKW,password,2
LIN,LYN78,KOW946@e.ntu.edu.sg,SCSE,password,1
JAMES,JIMMY22,JIMMY22@e.ntu.edu.sg,ADM,password,2
SOPHIE,SOE123,SOE123@e.ntu.edu.sg,EEE,password,1
EMMA,EMM456,EMM456@e.ntu.edu.sg,SCSE,password,1
JASON,JAY789,JAY789@e.ntu.edu.sg,NBS,password,1
RACHEL,RAE111,RAE111@e.ntu.edu.sg,SCSE,password,1
OLIVER,OLI324,OLI324@e.ntu.edu.sg,ADM,password,1
